agent_app,stratum,n,median_minutes_to_merge,median_hours_to_merge,pct_merged_under_10min,pct_merged_under_1h,pct_zero_formal_review,pct_zero_review_and_comment,median_review_submissions,pct_ge1_changes_requested,median_commits,median_loc_changed,pct_with_bot_reviewer
copilot-swe-agent,all,200,14.8,0.2,43.5,70.5,52.0,38.5,0,2.5,2,42,31.0
copilot-swe-agent,stars_ge500,14,4776.1,79.6,7.14,7.14,7.14,7.14,6,0.0,4,76,71.43
copilot-swe-agent,stars_lt500,186,12.4,0.2,46.24,75.27,55.38,40.86,0,2.69,2,41,27.96
devin-ai-integration,all,200,33.2,0.6,35.0,63.5,85.5,4.5,0,0.0,1,124,0.5
devin-ai-integration,stars_ge500,4,398.4,6.6,25.0,25.0,50.0,0.0,2,0.0,2,175,25.0
devin-ai-integration,stars_lt500,196,32.3,0.5,35.2,64.29,86.22,4.59,0,0.0,1,124,0.0
claude,all,600,40.3,0.7,31.5,54.0,62.0,43.67,0,1.17,1,107,8.17
claude,stars_ge500,60,485.9,8.1,0.0,6.67,41.67,36.67,1,5.0,1,33,8.33
claude,stars_lt500,540,28.3,0.5,35.0,59.26,64.26,44.44,0,0.74,1,127,8.15
google-labs-jules,all,600,76.1,1.3,20.0,46.33,81.5,2.33,0,2.17,1,72,5.17
google-labs-jules,stars_lt500,600,76.1,1.3,20.0,46.33,81.5,2.33,0,2.17,1,72,5.17
