event,at
+S-waiting-on-review,2025-10-27T21:27:48Z
+T-compiler,2025-10-27T21:27:48Z
+T-libs,2025-10-27T21:27:48Z
+S-waiting-on-perf,2025-10-28T11:12:52Z
+perf-regression,2025-10-28T16:43:11Z
-S-waiting-on-perf,2025-10-28T16:43:12Z
+T-clippy,2025-11-09T11:57:16Z
+S-waiting-on-perf,2025-11-21T09:04:01Z
-S-waiting-on-perf,2025-11-21T12:41:19Z
+S-waiting-on-perf,2025-11-21T15:13:39Z
+A-tidy,2025-11-21T15:38:27Z
+T-bootstrap,2025-11-21T15:38:27Z
-S-waiting-on-perf,2025-11-21T18:54:48Z
-S-waiting-on-review,2025-12-03T18:17:13Z
+S-waiting-on-crater,2025-12-03T18:17:14Z
-S-waiting-on-crater,2025-12-11T10:17:32Z
+S-waiting-on-review,2025-12-11T10:17:33Z
+S-blocked,2026-01-06T14:58:59Z
+S-waiting-on-perf,2026-01-30T11:15:21Z
-S-waiting-on-perf,2026-01-30T14:08:23Z
-S-waiting-on-review,2026-01-30T14:29:26Z
-S-blocked,2026-01-30T14:29:28Z
+S-waiting-on-crater,2026-01-30T14:29:29Z
-S-waiting-on-crater,2026-01-30T22:03:49Z
+S-waiting-on-review,2026-01-30T22:03:50Z
+S-waiting-on-perf,2026-01-31T10:26:12Z
-S-waiting-on-perf,2026-01-31T13:17:24Z
+S-waiting-on-perf,2026-02-07T18:17:46Z
-S-waiting-on-perf,2026-02-07T21:10:05Z
+S-waiting-on-bors,2026-02-16T10:04:22Z
-S-waiting-on-review,2026-02-16T10:04:23Z
+S-waiting-on-review,2026-02-16T15:32:29Z
-S-waiting-on-bors,2026-02-16T15:32:29Z
+S-waiting-on-author,2026-02-16T16:27:48Z
-S-waiting-on-review,2026-02-16T16:27:49Z
+S-waiting-on-bors,2026-02-16T16:32:37Z
-S-waiting-on-author,2026-02-16T16:32:38Z
+merged-by-bors,2026-02-16T22:27:49Z
-S-waiting-on-bors,2026-02-16T22:27:49Z
+perf-regression-triaged,2026-02-17T21:44:49Z
