repo,n,n_zero_review_and_comment,pct_zero_review_and_comment,pct_zero_formal_review,agents
opensanctions/opensanctions,22,20,90.91,100.0,claude
ethereum-optimism/optimism,9,0,0.0,0.0,claude
dotnet/runtime,8,0,0.0,0.0,copilot-swe-agent
hashintel/hash,5,0,0.0,0.0,claude
Comfy-Org/ComfyUI_frontend,4,0,0.0,0.0,claude
epam/ketcher,3,0,0.0,0.0,copilot-swe-agent
electron/electron,3,0,0.0,0.0,claude
camunda/camunda,3,0,0.0,0.0,claude
BerriAI/litellm,2,0,0.0,0.0,devin-ai-integration
usestrix/strix,2,0,0.0,100.0,devin-ai-integration
dfinity/ic,2,0,0.0,0.0,claude
aio-libs/aiobotocore,2,0,0.0,0.0,claude
electron/forge,2,0,0.0,0.0,claude
mvscode/frps-onekey,1,1,100.0,100.0,copilot-swe-agent
PropertyTools/PropertyTools,1,0,0.0,0.0,copilot-swe-agent
dotnet/arcade,1,0,0.0,0.0,copilot-swe-agent
JetBrains/ideavim,1,1,100.0,100.0,claude
owid/owid-grapher,1,0,0.0,100.0,claude
Uniswap/universal-router,1,0,0.0,0.0,claude
AlphaGPU/leetgpu-challenges,1,0,0.0,0.0,claude
sanity-io/sanity,1,0,0.0,0.0,claude
buildkite/agent,1,0,0.0,0.0,claude
xwiki/xwiki-platform,1,1,100.0,100.0,claude
cake-tech/cake_wallet,1,0,0.0,0.0,claude
